Home Assistant notifications (Log started: 2017-09-28T03:17:15.939811+00:00),,,,
--------------------------------------------------------------------------------,,,,

78.6,72.9,-14.67,-0.25,-0.63
78.4,72.9,-15.49,-0.65,-0.65
78.4,72.9,-16.31,-0.65,-0.65
78.4,72.9,-17.13,-0.65,-0.65
78.4,70.5,-17.94,-0.65,-0.81
78.2,70.5,-18.75,-0.58,-0.88
78.2,70.5,-19.56,-0.58,-0.88
78.2,69.9,-20.36,-0.58,-0.95
78.0,69.9,-21.15,-1.12,-0.97
78.0,69.9,-21.94,-1.12,-0.97
78.0,69.9,-22.72,-1.12,-0.97
72.4,58.1,37.94,0.0,0.55
72.8,58.1,37.75,6.32,1.13
73.0,58.1,37.54,3.42,1.11
72.8,58.1,37.31,-1.86,1.12
73.1,58.1,37.05,3.97,1.08
73.1,58.1,36.78,3.97,1.07
73.5,58.1,36.48,3.9,1.01
73.5,58.1,36.16,3.9,0.99
73.5,58.1,35.82,3.9,0.98
73.5,58.1,35.47,3.9,0.96
73.5,58.1,35.09,3.9,0.94
73.5,58.1,34.69,3.9,0.93
73.5,57.7,34.28,3.9,0.86
73.5,57.7,33.85,3.9,0.83
73.8,57.7,33.4,0.46,0.77
74.0,57.7,32.93,5.86,0.71
74.2,57.7,32.44,2.28,0.65
74.4,57.7,31.94,1.68,0.59
74.4,57.7,31.43,1.68,0.55
74.2,57.7,30.9,-1.15,0.52
74.0,57.7,30.35,-5.47,0.49
74.0,57.7,29.79,0.0,0.42
74.7,57.4,27.41,2.68,-1.47
74.9,57.4,26.79,2.46,-1.87
75.0,57.4,26.15,0.86,-2.08
73.4,57.4,25.5,-41.3,-2.11
71.1,57.4,24.84,-24.61,-1.82
69.6,57.4,24.17,-11.75,-1.61
69.0,57.4,23.49,-8.22,-1.53
68.5,57.4,22.8,-7.24,-1.48
68.5,57.4,22.1,-7.24,-1.48
68.3,57.4,21.39,-1.67,-1.45
68.3,57.4,20.67,-1.67,-1.45
68.3,57.4,19.95,-1.67,-1.45
68.5,57.2,19.22,0.61,-1.46
68.5,57.2,18.48,0.61,-1.46
68.5,57.2,17.73,0.61,-1.46
68.5,57.2,16.98,0.61,-1.46
68.5,57.2,16.57,0.61,-1.46
68.5,57.2,15.8,0.61,-1.46
68.5,57.1,15.03,0.61,-1.47
68.5,57.1,14.25,0.61,-1.47
68.5,57.1,13.46,0.61,-1.47
68.5,57.1,12.67,0.61,-1.47
68.5,57.1,11.88,0.61,-1.47
68.7,57.1,11.08,0.23,-1.49
68.7,56.9,10.28,0.23,-1.51
68.7,56.9,9.48,0.23,-1.51
68.7,56.9,8.67,0.23,-1.51
68.7,56.9,7.86,0.23,-1.51
68.7,56.9,7.05,0.23,-1.51
68.7,56.9,6.24,0.23,-1.51
68.7,56.9,5.43,0.23,-1.51
68.7,57.1,4.62,0.23,-1.51
68.7,57.1,3.81,0.23,-1.51
68.7,57.1,3.01,0.23,-1.51
68.7,57.1,2.22,0.23,-1.51
68.7,57.1,1.45,0.23,-1.51
68.7,57.1,0.7,0.23,-1.51
68.7,55.7,-0.02,0.23,-1.6
68.7,55.7,-1.2,0.23,-1.6
68.7,55.7,-2.13,0.23,-1.6
68.7,55.7,-3.01,0.23,-1.6
68.7,55.7,-3.88,0.23,-1.6
68.7,55.7,-4.74,0.23,-1.6
68.7,55.8,-5.6,0.23,-1.64
68.7,55.8,-6.45,0.23,-1.64
68.7,55.8,-7.3,0.23,-1.64
68.7,55.8,-8.15,0.23,-1.64
68.7,55.8,-9.0,0.23,-1.64
68.7,55.8,-9.84,0.23,-1.64
68.7,54.0,-10.69,0.23,-1.78
68.7,54.0,-11.53,0.23,-1.78
68.7,54.0,-12.37,0.23,-1.78
68.7,54.0,-13.21,0.23,-1.78
68.7,54.0,-14.04,0.23,-1.78
68.7,54.0,-14.87,0.23,-1.78
68.7,54.0,-15.7,0.23,-1.78
68.7,54.0,-16.53,0.23,-1.78
68.7,54.0,-17.35,0.23,-1.78
68.7,53.0,-18.17,0.23,-1.91
68.7,53.0,-18.99,0.23,-1.91
68.7,53.0,-19.8,0.23,-1.91
68.7,53.0,-20.61,0.23,-1.91
68.7,52.5,-21.41,0.23,-2.01
68.7,52.5,-22.21,0.23,-2.01
68.7,52.5,-23.0,0.23,-2.01
68.7,52.5,-23.79,0.23,-2.01
68.7,52.5,-24.57,0.23,-2.01
68.7,52.5,-25.34,0.23,-2.01
68.7,52.5,-26.11,0.23,-2.01
